TMAX,TMIN,TAVG
35.0,15.0,25.0
26.0,15.0,20.5
19.0,3.0,11.0
26.0,3.0,14.5
26.0,0.0,13.0
20.0,5.0,12.5
26.0,2.0,14.0
24.0,4.0,14.0
35.0,6.0,20.5
41.0,16.0,28.5
46.0,15.0,30.5
45.0,18.0,31.5
45.0,23.0,34.0
46.0,19.0,32.5
35.0,28.0,31.5
29.0,18.0,23.5
28.0,6.0,17.0
32.0,5.0,18.5
40.0,12.0,26.0
45.0,19.0,32.0
51.0,22.0,36.5
44.0,28.0,36.0
33.0,19.0,26.0
37.0,11.0,24.0
38.0,12.0,25.0
51.0,22.0,36.5
40.0,26.0,33.0
49.0,25.0,37.0
40.0,21.0,30.5
57.0,12.0,34.5
50.0,4.0,27.0
3.0,-15.0,-6.0
17.0,-10.0,3.5
43.0,4.0,23.5
53.0,30.0,41.5
53.0,26.0,39.5
37.0,24.0,30.5
49.0,24.0,36.5
57.0,24.0,40.5
46.0,20.0,33.0
44.0,16.0,30.0
53.0,13.0,33.0
48.0,18.0,33.0
47.0,17.0,32.0
65.0,35.0,50.0
41.0,13.0,27.0
47.0,16.0,31.5
52.0,15.0,33.5
32.0,10.0,21.0
12.0,4.0,8.0
5.0,-2.0,1.5
20.0,-7.0,6.5
26.0,2.0,14.0
48.0,12.0,30.0
62.0,31.0,46.5
52.0,32.0,42.0
56.0,21.0,38.5
40.0,18.0,29.0
39.0,18.0,28.5
42.0,22.0,32.0
35.0,22.0,28.5
35.0,27.0,31.0
46.0,17.0,31.5
52.0,21.0,36.5
54.0,22.0,38.0
45.0,26.0,35.5
42.0,19.0,30.5
63.0,22.0,42.5
51.0,28.0,39.5
41.0,22.0,31.5
56.0,18.0,37.0
55.0,21.0,38.0
66.0,29.0,47.5
37.0,4.0,20.5
45.0,6.0,25.5
41.0,7.0,24.0
24.0,-4.0,10.0
19.0,2.0,10.5
10.0,4.0,7.0
49.0,1.0,25.0
46.0,25.0,35.5
64.0,9.0,36.5
39.0,8.0,23.5
25.0,4.0,14.5
28.0,3.0,15.5
43.0,11.0,27.0
53.0,17.0,35.0
50.0,23.0,36.5
56.0,25.0,40.5
62.0,26.0,44.0
48.0,26.0,37.0
49.0,24.0,36.5
68.0,34.0,51.0
57.0,24.0,40.5
43.0,21.0,32.0
46.0,24.0,35.0
48.0,19.0,33.5
56.0,21.0,38.5
30.0,-3.0,13.5
34.0,-4.0,15.0
51.0,15.0,33.0
65.0,28.0,46.5
67.0,35.0,51.0
48.0,27.0,37.5
28.0,23.0,25.5
55.0,28.0,41.5
60.0,25.0,42.5
59.0,26.0,42.5
57.0,25.0,41.0
50.0,28.0,39.0
48.0,19.0,33.5
63.0,24.0,43.5
38.0,15.0,26.5
52.0,11.0,31.5
47.0,20.0,33.5
47.0,20.0,33.5
37.0,19.0,28.0
30.0,13.0,21.5
22.0,9.0,15.5
39.0,5.0,22.0
53.0,27.0,40.0
32.0,0.0,16.0
12.0,-5.0,3.5
38.0,2.0,20.0
56.0,16.0,36.0
62.0,30.0,46.0
60.0,33.0,46.5
58.0,30.0,44.0
52.0,16.0,34.0
50.0,22.0,36.0
50.0,23.0,36.5
61.0,28.0,44.5
44.0,32.0,38.0
