location,parameter,value,local_time,sensor_lat,sensor_lon
Boston - Roxbury,pm25,4.8,2023-08-28 22:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.6,2023-08-28 21:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.8,2023-08-28 20:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.4,2023-08-28 19:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.8,2023-08-28 18:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.1,2023-08-28 17:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.8,2023-08-28 16:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.2,2023-08-28 15:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,7.0,2023-08-28 14:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.6,2023-08-28 13:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.8,2023-08-28 12:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.8,2023-08-28 11:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.5,2023-08-28 10:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.6,2023-08-28 09:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.8,2023-08-28 08:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.9,2023-08-28 07:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.7,2023-08-28 06:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.2,2023-08-28 05:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.3,2023-08-28 04:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.3,2023-08-28 03:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.5,2023-08-28 02:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-28 01:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.8,2023-08-28 00:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.1,2023-08-27 23:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.3,2023-08-27 22:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.7,2023-08-27 21:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.4,2023-08-27 20:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.7,2023-08-27 19:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.2,2023-08-27 18:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.3,2023-08-27 17:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.6,2023-08-27 16:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.5,2023-08-27 15:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.4,2023-08-27 14:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.1,2023-08-27 13:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.2,2023-08-27 12:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.6,2023-08-27 11:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.5,2023-08-27 10:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.6,2023-08-27 09:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.2,2023-08-27 08:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-27 07:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.3,2023-08-27 06:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,7.8,2023-08-27 05:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,8.8,2023-08-27 04:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,7.8,2023-08-27 03:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,8.5,2023-08-27 02:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,8.9,2023-08-27 01:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,11.1,2023-08-27 00:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,11.1,2023-08-26 23:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,10.6,2023-08-26 22:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,10.1,2023-08-26 21:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,11.1,2023-08-26 20:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,8.1,2023-08-26 19:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.5,2023-08-26 18:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.3,2023-08-26 17:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.1,2023-08-26 16:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.5,2023-08-26 15:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.0,2023-08-26 14:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.5,2023-08-26 13:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.3,2023-08-26 12:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.1,2023-08-26 11:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.2,2023-08-26 10:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.8,2023-08-26 09:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.6,2023-08-26 08:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,7.1,2023-08-26 07:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,7.4,2023-08-26 06:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,7.2,2023-08-26 05:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.9,2023-08-26 04:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,7.1,2023-08-26 03:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.7,2023-08-26 02:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.7,2023-08-26 01:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.2,2023-08-26 00:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.3,2023-08-25 23:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.5,2023-08-25 22:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.3,2023-08-25 21:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.7,2023-08-25 20:00:00-04:00,42.329399,-71.082497
